a  /ah /a
nearing  /en ih r ih ng /n ea r i ng
nearly  /en ih r el iy /n ea r l y
neat  /en iy t /n ea t
necessarily  /en eh s ih s eh r ah el iy /n e c e ss a r i l y
necessary  /en eh s ih s eh r iy /n e c e ss a r y
necessitates  /en ih s eh s ah t ey t s /n e c e ss i t a te s
necessity  /en ih s eh s ih t iy /n e c e ss i t y
neck  /en eh k /n e ck
necklace  /en eh k el ah s /n e ck l a ce  
nectar  /en eh k t er /n e c t ar
need  /en iy d /n ee d
needed  /en iy d ih d /n ee d e d
needle  /en iy d el /n ee d le  
needle-sharp  /en iy d el sh ao r p /n ee d le- sh a r p
needlepoint  /en iy d el p oy en t /n ee d le p oi n t
needless  /en iy d el ah s /n ee d l e ss
needs  /en iy d z /n ee d s
neglect  /en ah g el eh k t /n e g l e c t
negligent  /en eh g el ih jh ih en t /n e g l i g e n t
negligible  /en eh g el ih jh ih b el /n e g l i g i b le  
negotiations  /en ih g ow sh iy ey sh ih en z /n e g o t i a * * tion s
neither  /en iy dh er /n ei th er
neoclassic  /en iy ow k el ae s ih k /n e o c l a ss i c
nerves  /en er v z /n er ve s
nested  /en eh s t ih d /n e s t e d
nevada  /en ah v ae d ah /n e v a d a
nevada's  /en ah v ae d ah z /n e v a d a' s
never  /en eh v er /n e v er
nevertheless  /en eh v er dh ah el eh s /n e v er th e l e ss
new  /en uw /n ew
news  /en uw z /n ew s
newspaper  /en uw z p ey p er /n ew s p a p er
next  /en eh k s t /n e * x t
nice  /en ay s /n i ce  
nicely  /en ay s el iy /n i c el y
night  /en ay t /n igh t
nightly  /en ay t el iy /n igh t l y
nightmares  /en ay t m ae r z /n igh t m a re s
nights  /en ay t s /n igh t s
nihilistic  /en ay ih el ih s t ih k /n ih i l i s t i c
nine  /en ay en /n i ne  
nip  /en ih p /n i p
no  /en ow /n o
nobody  /en ow b ah d iy /n o b o d y
nobody's  /en ow b ah d iy z /n o b o d y' s
nodded  /en ao d ih d /n o dd e d
noise  /en oy z /n oi se  
noisy  /en oy z iy /n oi s y
non-  /en ao en /n o n-  
non-contributory  /en ao en k ah en t r ih b y uw t ao r iy /n o n- c o n t r i b * u t o r y
non-nonsense  /en ao en ao en s eh en s /n o n-n o n s e n se  
non-supervisory  /en ao en s uw p er v ay z er iy /n o n- s u p er v i s or y
none  /en ah en /n o ne  
nonprofit  /en ao en p r ao f ah t /n o n p r o f i t
nonsense  /en ao en s eh en s /n o n s e n se  
nonsystematic  /en ao en s ih s t ah m ae t ih k /n o n s y s t e m a t i c
nor  /en ao r /n o r
nora  /en ao r ah /n o r a
nora's  /en ao r ah z /n o r a' s
normal  /en ao r m el /n o r m al
normally  /en ao r m el iy /n o r m all y
norms  /en ao r m z /n o r m s
north  /en ao r th /n o r th
northeast  /en ao r th iy s t /n o r th ea s t
northern  /en ao r dh er en /n o r th er n
northerners  /en ao r dh er en er z /n o r th er n er s
norwegian  /en ao r w iy jh ih en /n o r w e g ia n
nose  /en ow z /n o se  
not  /en ao t /n o t
note  /en ow t /n o te  
noted  /en ow t ih d /n o t e d
notes  /en ow t s /n o te s
noteworthy  /en ow t w er dh iy /n o te w or th y
nothin  /en ah th ih en /n o th i n
nothing  /en ah th ih ng /n o th i ng
notice  /en ow t ih s /n o t i ce  
notices  /en ow t ih s ih z /n o t i c e s
notoriety  /en ow t er ay ah t iy /n o t or i e t y
novel  /en ao v el /n o v el
novelists  /en ao v el ih s t s /n o v el i s t s
novelty  /en ao v el t iy /n o v el t y
now  /en aw /n ow
nowadays  /en aw ah d ey z /n ow a d ay s
nowhere  /en ow hh w ae r /n o * wh e re  
nuclear  /en uw k el iy er /n u c l e ar
nucleus  /en uw k el iy ah s /n u c l e u s
numb  /en ah m /n u mb  
number  /en ah m b er /n u m b er
numbering  /en ah m b er ih ng /n u m b er i ng
numbness  /en ah m en ih s /n u mb n e ss
numerous  /en uw m er ah s /n u m er ou s
nurses'  /en er s ih z /n ur s e s'  
nut  /en ah t /n u t
nutrients  /en uw t r iy ah en t s /n u t r i e n t s
nutrition  /en uw t r ih sh ih en /n u t r i * * tion
nuts  /en ah t s /n u t s
nymphomaniacs  /en ih m f ah m ey en iy ae k s /n y m ph o m a n i a c s
o'  /ow /o'  
o'clock  /ah k el ao k /o' c l o ck
oak  /ow k /oa k
oasis  /ow ey s ih s /o a s i s
oatmeal  /ow t m iy el /oa t m e al
oats  /ow t s /oa t s
obey  /ow b ey /o b ey  
obeying  /ow b ey ih ng /o b e yi ng
objective  /ah b jh eh k t ih v /o b j e c t i ve  
objectives  /ah b jh eh k t ih v z /o b j e c t i ve s
object~n  /ao b jh eh k t /o b j e c t
object~v  /ah b jh eh k t /o b j e c t
objects  /ao b jh eh k t s /o b j e c t s
observance  /ah b z er v ih en s /o b s er v a n ce  
observe  /ah b z er v /o b s er ve  
observers  /ah b z er v er z /o b s er v er s
obsession  /ao b s eh sh ih en /o b s e ss i on
obsessions  /ao b s eh sh ih en z /o b s e ss i on s
obsolescent  /ao b s ah el eh s en t /o b s o l e sc en t
obstacles  /ao b s t ih k el z /o b s t a c le s
obtain  /ah b t ey en /o b t ai n
obtained  /ah b t ey en d /o b t ai n ed
obtaining  /ah b t ey en ih ng /o b t ai n i ng
obverse  /ah b v er s /o b v er se  
obvious  /ao b v iy ah s /o b v i ou s
obviously  /ao b v iy ah s el iy /o b v i ou s l y
occasionally  /ah k ey sh ih en ah el iy /o cc a si o n a ll y
occupied  /ao k y uw p ay d /o cc * u p i ed
occur  /ah k er /o cc ur
occurred  /ah k er d /o cc urr ed
occurs  /ah k er z /o cc ur s
ocean  /ow sh ih en /o c ea n
ocean's  /ow sh ih en z /o c ea n' s
oceanographic  /ow sh ih en ah g r ae f ih k /o c ea n o g r a ph i c
octillion  /ao k t ih el y ah en /o c t i ll i o n
odd  /ao d /o dd
odds  /ao d z /o dd s
odds-on  /ao d z ao en /o dd s- o n
odor  /ow d er /o d or
of  /ah v /o f
off  /ao f /o ff
off-duty  /ao f d uw t iy /o ff- d u t y
offensive  /ah f eh en s ih v /o ff e n s i ve  
offer  /ao f er /o ff er
offered  /ao f er d /o ff er ed
offering  /ao f er ih ng /o ff er i ng
office  /ao f ah s /o ff i ce  
officer  /ao f ah s er /o ff i c er
officers  /ao f ah s er z /o ff i c er s
offices  /ao f ah s ih z /o ff i c e s
official  /ah f ih sh el /o ff i ci al
officials  /ah f ih sh el z /o ff i ci al s
often  /ao f ah en /o ft e n
ogress  /ow g r eh s /o g r e ss
oh  /ow /oh  
oil  /oy el /oi l
oil-field  /oy el f iy el d /oi l- f i el d
oils  /oy el z /oi l s
oily  /oy el iy /oi l y
ointment  /oy en t m ah en t /oi n t m e n t
okay  /ow k ey /o k ay
old  /ow el d /o l d
old-timers  /ow el d t ay m er z /o l d- t i m er s
older  /ow el d er /o l d er
oldsters  /ow el d s t er z /o l d s t er s
ole  /ow el /o le  
olive  /ao el ih v /o l i ve  
omitted  /ow m ih t ih d /o m i tt e d
omitting  /ow m ih t ih ng /o m i tt i ng
on  /ao en /o n
once  /w ah en s / * o n ce  
one  /w ah en / * o ne  
one's  /w ah en z / * o ne' s
one-half  /w ah en hh ae f / * o ne- h al f
one-o'clock  /w ah en ah k el ao k / * o n e-o' c l o ck
one-upmanship  /w ah en ah p m ah en sh ih p / * o n e-u p m a n sh i p
ones  /w ah en z / * o ne s
onion  /ah en y ah en /o n i o n
only  /ow en el iy /o n l y
onto  /ao en t uw /o n t o
oozed  /uw z d /oo z ed
opaque  /ow p ey k /o p a que  
open  /ow p ah en /o p e n
opened  /ow p ah en d /o p e n ed
opening  /ow p ah en ih ng /o p e n i ng
opens  /ow p ah en z /o p e n s
opera  /ao p er ah /o p er a
operated  /ao p er ey t ih d /o p er a t e d
operates  /ao p er ey t s /o p er a te s
operation  /ao p er ey sh ih en /o p er a * * tion
opinions  /ah p ih en y ah en z /o p i n i o n s
opium  /ow p iy ah m /o p i u m
opportunity  /ao p er t uw en ih t iy /o pp or t u n i t y
opposing  /ah p ow z ih ng /o pp o s i ng
opposite  /ao p ah z ih t /o pp o s i te  
oppressive  /ah p r eh s ih v /o pp r e ss i ve  
optical  /ao p t ih k el /o p t i c al
optimal  /ao p t ah m el /o p t i m al
optimism  /ao p t ah m ih z m /o p t i m i s m
or  /ao r /o r
orange  /ao r ih en jh /o r a n ge  
oratorical  /ao r ah t ao r ih k el /o r a t o r i c al
orchestra  /ao r k ih s t r ah /o r ch e s t r a
order  /ao r d er /o r d er
ordering  /ao r d er ih ng /o r d er i ng
orders  /ao r d er z /o r d er s
organism  /ao r g ih en ih z m /o r g a n i s m
organist  /ao r g ih en ih s t /o r g a n i s t
organizations  /ao r g ih en ih z ey sh ih en z /o r g a n i z a * * tion s
oriental  /ao r iy eh en t el /o r i e n t al
oriented  /ao r iy eh en t ih d /o r i e n t e d
origin  /ao r ih jh ih en /o r i g i n
original  /ao r ih jh ih en el /o r i g i n al
originally  /ao r ih jh ih en ah el iy /o r i g i n a ll y
originals  /ao r ih jh ih en el z /o r i g i n al s
orthodontic  /ao r th ah d ao en t ih k /o r th o d o n t i c
orthodontist  /ao r th ah d ao en t ih s t /o r th o d o n t i s t
other  /ah dh er /o th er
others  /ah dh er z /o th er s
otherwise  /ah dh er w ay z /o th er w i se  
otto's  /ao t ow z /o tt o' s
ought  /ao t /ough t
our  /aw r /ou r
ourselves  /aw r s eh el v z /ou r s e l ve s
out  /aw t /ou t
out-moded  /aw t m ow d ih d /ou t- m o d e d
out-of-doors  /aw t ah v d ao r z /ou t- o f- d oo r s
outage  /aw t ih jh /ou t a ge  
outcast  /aw t k ae s t /ou t c a s t
outcome  /aw t k ah m /ou t c o me  
outdoors  /aw t d ao r z /ou t d oo r s
outer  /aw t er /ou t er
outfielders  /aw t f iy el d er z /ou t f i el d er s
outfit  /aw t f ih t /ou t f i t
outgrew  /aw t g r uw /ou t g r ew
outgrow  /aw t g r ow /ou t g r ow  
outlaws  /aw t el ao z /ou t l aw s
outlook  /aw t el uh k /ou t l oo k
outpost  /aw t p ow s t /ou t p o s t
outputs  /aw t p uh t s /ou t p u t s
outset  /aw t s eh t /ou t s e t
outside  /aw t s ay d /ou t s i de  
outstanding  /aw t s t ae en d ih ng /ou t s t a n d i ng
outward  /aw t w er d /ou t w ar d
oval  /ow v el /o v al
over  /ow v er /o v er
overalls  /ow v er ao el z /o v er a ll s
overboard  /ow v er b ao r d /o v er b oa r d
overcame  /ow v er k ey m /o v er c a me  
overcharged  /ow v er ch ao r jh d /o v er ch a r g ed
overdue  /ow v er d uw /o v er d ue  
overeating  /ow v er iy t ih ng /o v er ea t i ng
overflowed  /ow v er f el ow d /o v er f l ow ed
overhangs  /ow v er hh ae ng z /o v er h a ng s
overhead  /ow v er hh eh d /o v er h ea d
overlap  /ow v er el ae p /o v er l a p
overlapping  /ow v er el ae p ih ng /o v er l a pp i ng
overloaded  /ow v er el ow d ih d /o v er l oa d e d
overlooked  /ow v er el uh k t /o v er l oo k ed
overly  /ow v er el iy /o v er l y
overnight  /ow v er en ay t /o v er n igh t
overnighters  /ow v er en ay t er z /o v er n igh t er s
overplayed  /ow v er p el ey d /o v er p l ay ed
overprotection  /ow v er p r ah t eh k sh ih en /o v er p r o t e c * * tion
overriding  /ow v er r ay d ih ng /o v er r i d i ng
oversized  /ow v er s ay z d /o v er s i z ed
overtake  /ow v er t ey k /o v er t a ke  
overthrow  /ow v er th r ow /o v er th r ow  
overweight  /ow v er w ey t /o v er w eigh t
overwhelm  /ow v er w eh el m /o v er wh e l m
overwhelmed  /ow v er w eh el m d /o v er wh e l m ed
overwritten  /ow v er r ih t en /o v erw r i tt en
own  /ow en /ow n
owner  /ow en er /ow n er
owns  /ow en z /ow n s
oyster  /oy s t er /oy s t er
oysters  /oy s t er z /oy s t er s
pa  /p ao /p a
pace  /p ey s /p a ce  
pack  /p ae k /p a ck
package  /p ae k ih jh /p a ck a ge  
packing  /p ae k ih ng /p a ck i ng
padlock  /p ae d el ao k /p a d l o ck
paid  /p ey d /p ai d
pail  /p ey el /p ai l
pain  /p ey en /p ai n
paintings  /p ey en t ih ng z /p ai n t i ng s
pair  /p ae r /p ai r
pairs  /p ae r z /p ai r s
pale  /p ey el /p a le  
palm  /p ao m /p al m
palpably  /p ae el p ah b el iy /p a l p a b l y
pam  /p ae m /p a m
pamphlets  /p ae m f el ih t s /p a m ph l e t s
pan  /p ae en /p a n
panelization  /p ae en el ay z ey sh ih en /p a n el i z a * * tion
panic  /p ae en ih k /p a n i c
pansies  /p ae en z iy z /p a n s ie s
papaya  /p ah p ay ah /p a pa y a
paper  /p ey p er /p a p er
papered  /p ey p er d /p a p er ed
paperweight  /p ey p er w ey t /p a p er w eigh t
paprika  /p ae p r iy k ah /p a p r i k a
parades  /p er ey d z /p ar a de s
paragraph  /p ae r ah g r ae f /p a r a g r a ph
parallel  /p ae r ah el eh el /p a r a ll e l
paralysis  /p er ae el ih s ih s /p ar a l y s i s
paramagnetic  /p ae r ah m ae g en eh t ih k /p a r a m a g n e t i c
paranoid  /p ae r ah en oy d /p a r a n oi d
pardon  /p ao r d ih en /p a r d o n
parental  /p er eh en t el /p ar e n t al
parenthood  /p ae r ah en t hh uh d /p a r e n t h oo d
park  /p ao r k /p a r k
parking  /p ao r k ih ng /p a r k i ng
parrots  /p ae r ah t s /p a rr o t s
part  /p ao r t /p a r t
part-time  /p ao r t ay m /p a r t-t i me  
parted  /p ao r t ih d /p a r t e d
participant  /p ao r t ih s ah p ah en t /p a r t i c i p a n t
participants  /p ao r t ih s ah p ah en t s /p a r t i c i p a n t s
participate  /p ao r t ih s ah p ey t /p a r t i c i p a te  
participates  /p ao r t ih s ah p ey t s /p a r t i c i p a te s
particular  /p er t ih k y uh el er /p ar t i c * u l ar
particularly  /p er t ih k y uh el er el iy /p ar t i c * u l ar l y
parties  /p ao r t iy z /p a r t ie s
partly  /p ao r t el iy /p a r t l y
partner  /p ao r t en er /p a r t n er
parts  /p ao r t s /p a r t s
pass  /p ae s /p a ss
passed  /p ae s t /p a ss ed
passing  /p ae s ih ng /p a ss i ng
passions  /p ae sh ih en z /p a ss i on s
passive  /p ae s ih v /p a ss i ve  
past  /p ae s t /p a s t
paste  /p ey s t /p a s te  
pastime  /p ae s t ay m /p a s t i me  
pasture  /p ae s ch er /p a s t ure  
path  /p ae th /p a th
pathetic  /p ah th eh t ih k /p a th e t i c
pathological  /p ae th ah el ao jh ih k el /p a th o l o g i c al
patient  /p ey sh ih en t /p a * * tion t
patient's  /p ey sh ih en t s /p a * * tion t' s
patiently  /p ey sh ih en t el iy /p a * * tion t l y
patrons  /p ey t r ah en z /p a t r o n s
patsy  /p ae t s iy /p a t s y
pattered  /p ae t er d /p a tt er ed
pattern  /p ae t er en /p a tt er n
patterns  /p ae t er en z /p a tt er n s
pause  /p ao z /p au se  
paused  /p ao z d /p au s ed
paw  /p ao /p aw  
pay  /p ey /p ay
payments  /p ey m ah en t s /p ay m e n t s
pays  /p ey z /p ay s
peace  /p iy s /p ea ce  
peacefully  /p iy s f uh el iy /p ea ce f u ll y
peach  /p iy ch /p ea ch
peaches  /p iy ch ih z /p ea ch e s
peanut  /p iy en ah t /p ea n u t
pearls  /p er el z /pe ar l s
peas  /p iy z /p ea s
peck  /p eh k /p e ck
peculiar  /p ah k y uw el y er /p e c * u l i ar
pedestal  /p eh d ih s t el /p e d e s t al
peeling  /p iy el ih ng /p ee l i ng
peered  /p ih r d /p ee r ed
penalty  /p eh en el t iy /p e n al t y
pendulum  /p eh en jh ah el ah m /p e n d u l u m
penetrated  /p eh en ih t r ey t ih d /p e n e t r a t e d
penguins  /p eh ng g w ah en z /p e n g * ui n s
penicillin  /p eh en ih s ih el ih en /p e n i c i ll i n
pension  /p eh en sh ih en /p e n si o n
people  /p iy p el /p eo p le  
pepper  /p eh p er /p e pp er
peppered  /p eh p er d /p e pp er ed
per  /p er /p er
per-year  /p er y ih r /p er- y ea r
perception  /p er s eh p sh ih en /p er c e p * * tion
perennial  /p er eh en iy el /p er e nn i al
perfect  /p er f eh k t /p er f e c t
perfectly  /p er f eh k t el iy /p er f e c t l y
performance  /p er f ao r m ah en s /p er f o r m a n ce  
performances  /p er f ao r m ah en s ih z /p er f o r m a n c e s
performers  /p er f ao r m er z /p er f o r m er s
perfume  /p er f y uw m /p er f * u me  
perhaps  /p er hh ae p s /p er h a p s
perils  /p eh r el z /p e ri l s
period  /p ih r iy ih d /p e r i o d
periodical  /p ih r iy ao d ih k el /p e r i o d i c al
periodically  /p ih r iy ao d ih k el iy /p e r i o d i c all y
periods  /p ih r iy ih d z /p e r i o d s
permanent  /p er m ah en ih en t /p er m a n e n t
permit  /p er m ih t /p er m i t
perpendicular  /p er p ih en d ih k y uh el er /p er p e n d i c * u l ar
persistently  /p er s ih s t ih en t el iy /p er s i s t e n t l y
persisting  /p er s ih s t ih ng /p er s i s t i ng
person  /p er s ih en /p er s o n
personal  /p er s ih en el /p er s o n al
personality  /p er s ih en ae el ih t iy /p er s o n a l i t y
personalized  /p er s ih en ah el ay z d /p er s o n a l i z ed
personnel  /p er s ih en eh el /p er s o nn e l
persons  /p er s ih en z /p er s o n s
persuaded  /p er s w ey d ih d /p er s u a d e d
persuasively  /p er s w ey s ih v el iy /p er s u a s i v el y
pert  /p er t /p er t
pertinent  /p er t en ih en t /p er ti n e n t
pervasive  /p er v ey s ih v /p er v a s i ve  
perverse  /p er v er s /p er v er se  
pessimism  /p eh s ah m ih z m /p e ss i m i s m
pests  /p eh s t s /p e s t s
petticoats  /p eh t ih k ow t s /p e tt i c oa t s
petting  /p eh t ih ng /p e tt i ng
petty  /p eh t iy /p e tt y
pewter  /p y uw t er /p * ew t er
phase  /f ey z /ph a se  
phenomenon  /f ih en ao m ah en ao en /ph e n o m e n o n
phil's  /f ih el z /ph i l' s
phone  /f ow en /ph o ne  
phones  /f ow en z /ph o ne s
phony  /f ow en iy /ph o n y
phosphate  /f ao s f ey t /ph o s ph a te  
phosphates  /f ao s f ey t s /ph o s ph a te s
photochemical  /f ow t ah k eh m ih k el /ph o t o ch e m i c al
photographs  /f ow t ow g r ae f s /ph o t o g r a ph s
photos  /f ow t ow z /ph o t o s
phrase  /f r ey z /ph r a se  
physical  /f ih z ih k el /ph y s i c al
piano  /p iy ae en ow /p i a n o
pick  /p ih k /p i ck
picked  /p ih k t /p i ck ed
picket  /p ih k ih t /p i ck e t
pickpocket  /p ih k p ao k ih t /p i ck p o ck e t
pickpockets  /p ih k p ao k ih t s /p i ck p o ck e t s
picture  /p ih k ch er /p i c t ure  
pictures  /p ih k ch er z /p i c t ure s
pie  /p ay /p ie  
piece  /p iy s /p ie ce  
piecemeal  /p iy s m iy el /p ie ce m e al
pieces  /p iy s ih z /p ie c e s
pig  /p ih g /p i g
pigeons  /p ih jh ih en z /p i g e on s
pile  /p ay el /p i le  
piled  /p ay el d /p i l ed
pilgrims  /p ih el g r ah m z /p i l g r i m s
pill  /p ih el /p i ll
pills  /p ih el z /p i ll s
pilots  /p ay el ah t s /p i l o t s
pilots'  /p ay el ah t s /p i l o t s'  
pine  /p ay en /p i ne  
pink  /p ih ng k /p i n k
pins  /p ih en z /p i n s
pint  /p ay en t /p i n t
pint-sized  /p ay en t s ay z d /p i n t- s i z ed
pinto  /p ih en t ow /p i n t o
pioneer  /p ay ah en ih r /p i o n ee r
piped  /p ay p t /p i p ed
pistachio  /p ah s t ae sh iy ow /p i s t a ch i o
pit  /p ih t /p i t
pitch  /p ih ch /p i tch  
pitched  /p ih ch t /p i tch ed
pitcher  /p ih ch er /p i tch er
pitiable  /p ih t iy ah b el /p i t i a b le  
pity  /p ih t iy /p i t y
pizzerias  /p iy t s er iy ah z /p i z z er i a s
place  /p el ey s /p l a ce  
placed  /p el ey s t /p l a c ed
places  /p el ey s ih z /p l a c e s
plaintiff  /p el ey en t ih f /p l ai n t i ff
plan  /p el ae en /p l a n
plane  /p el ey en /p l a ne  
planes  /p el ey en z /p l a ne s
planets  /p el ae en ih t s /p l a n e t s
planned  /p el ae en d /p l a nn ed
planning  /p el ae en ih ng /p l a nn i ng
plans  /p el ae en z /p l a n s
plant  /p el ae en t /p l a n t
planted  /p el ae en t ih d /p l a n t e d
plasters  /p el ae s t er z /p l a s t er s
plate  /p el ey t /p l a te  
